"","site","quads","Lat","Long","MAT","MAP","TSD","PCV","%Sand","%N","BA"
"7771",1040,120,43.0917,-88.838,8.515307503,904.5488548,10.97232025,0.724451825,53,0.273030137,24.2711
"7956",1041,403,42.9484,-89.5837,8.258649645,946.3643375,11.11377183,0.679805079,35,0.207631918,22.4398
"8141",1045,120,43.0371,-89.441,8.314787867,929.2806792,11.13334318,0.688141451,23,0.18,51.6557
"8326",1055,80,42.647,-89.4179,8.518045559,913.576129,11.06218485,0.682248942,45,0.202229755,27.6039
"8511",1064,120,42.6643,-89.4421,8.486976608,918.6106953,11.06228038,0.680720075,39,0.466931903,27.6039
"8696",1067,120,42.7881,-89.6315,8.292289793,946.3121777,11.08645775,0.691084545,15,0.265165844,30.7446
"8881",1070,120,43.0467,-89.4269,8.320297903,926.0258283,11.13473864,0.690988167,17,0.258741833,29.1314
"9066",1073,80,43.2655,-89.5841,8.091355407,1001.005636,11.2204178,0.690154687,37,0.34918201,17.8486
"9251",1084,120,42.5456,-89.4081,8.534509743,917.162679,11.04135626,0.679166559,19,0.364444402,13.1838
"9436",1085,120,43.269,-89.5874,8.087073533,1003.729665,11.22278477,0.690637219,33,0.255924029,19.7431
"9621",1086,120,43.1093,-88.8642,8.521889337,912.899807,10.98387999,0.734544827,39,0.187620428,23.5089
"9806",1087,120,42.9869,-91.1279,8.883605487,859.0898072,11.43765186,0.761114007,33,0.317211907,26.3888
"9991",1088,120,42.9941,-91.11,8.887389289,858.2502824,11.43973367,0.762934579,21,0.317750359,20.9187
"10176",1089,90,43.3192,-90.6773,8.165141311,880.7354404,11.40918037,0.747205745,33,0.366979395,19.8031
"10361",1091,120,43.2784,-90.7513,8.239342121,872.9460259,11.42700347,0.745875921,21,0.318417115,14.9943
"10546",1093,80,43.5531,-91.1093,8.51127216,873.6195463,11.57569204,0.722188635,33,0.435189216,17.0502
"10731",1095,80,43.4401,-89.1427,8.268752451,898.2215626,11.14787399,0.703343594,77,0.240002426,16.8887
"10916",1096,80,43.6559,-89.0356,8.233614501,864.2426081,11.19546538,0.723744619,35,0.28533704,12.3091
"11101",1099,80,43.9381,-89.1776,7.858114354,862.6600972,11.35988816,0.709264754,89,0.096368652,25.8315
"11286",1100,80,42.8999,-88.1621,8.718594926,879.3551617,10.63842712,0.667811993,43,0.463307781,24.4324
"11471",1101,80,42.8204,-87.9066,8.818477983,901.3872924,10.4889413,0.641854167,47,0.363612753,24.143
