"","sp","SLA","VH","LCC","LS","CN","LT","LNC","LDMC"
"52","Clintborea",327.3923166,11.16666667,44.25219345,67.22205484,20.8019083,0.44140625,0.021273141,0.096634289
"53","Coptitrifo",262.0779262,5.708333333,48.26789729,11.19174127,29.46887665,0.218107143,0.01637928,0.323331955
"54","Cratasp.",240.3792625,285.6666667,46.42845535,35.61460036,22.57525932,0.16330303,0.020566078,0.43249245
"55","Cryptcanad",539.2738108,64.33333333,44.36074829,92.93010298,14.61185427,0.149766667,0.030359424,0.19394278
"56","Cypriacaul",308.9008226,12.5,42.90953168,92.84819444,18.34695911,0.287575758,0.023387817,0.118805982
"57","Desmogluti",532.8591327,51.58333333,43.43464788,271.9038906,13.96565358,0.131259259,0.031101049,0.267365528
"58","Desmonudif",479.9691045,29.75,45.82810911,94.18672847,13.98346935,0.137757576,0.032773061,0.279267342
"59","Dicencucul",397.9655985,16.99166667,45.56727982,92.11326172,10.52011417,0.166875,0.043314435,0.17487296
"60","Dichasp.",199.5498159,31.96428571,44.91830635,6.505089286,14.76406264,0.23516129,0.030424083,0.323958755
"61","Dioscvillo",708.1900465,57.08333333,46.14271545,31.28162552,11.07577865,0.133375,0.041660922,0.18076823
"62","Dodecmeadi",195.5409745,21.54166667,41.5323232,59.47858507,18.71745983,0.411666667,0.022189081,0.165502467
"63","Dryopcarth",351.9780157,61.5,48.04302851,647.23215,18.93303718,0.20495,0.025375236,0.273857128
"64","Elymucanad",120.3594031,100.675,46.10180028,26.4796875,22.69211586,0.22,0.020316219,0.542342118
"65","Elymuhystr",355.5166092,71.83333333,43.57933807,22.41714117,12.57196519,0.158322581,0.034663903,0.300168882
"66","Elymuvirgi",257.3050061,82.25,42.44233068,20.65433947,13.87718153,0.154888889,0.030584258,0.378128859
"67","Enemibiter",616.0603532,17,42.35353279,7.973372781,14.24032287,0.146923077,0.029741975,0.190964532
"68","Epipahelle",348.7576414,34.63636364,43.14249357,19.47882888,15.09093692,0.265321429,0.028588347,0.198939311
"69","Equisarven",164.8527497,29.66666667,37.40920766,1.981254896,20.45137394,0.539333333,0.018291782,0.218359038
"70","Erythameri",364.0739465,21.28333333,44.20000712,32.54926036,17.36833085,0.406923077,0.025448621,0.106968008
"71","Euphocorol",141.2301354,65.94166667,45.16995764,4.861026042,20.95915574,0.215416667,0.02155142,0.343669833
"72","Eurybmacro",318.7328912,23.5,41.51236534,165.09011,18.94896439,0.267636364,0.021907459,0.220210576
"73","Euthagrami",102.8002509,82.79166667,46.39347924,1.514297747,31.29895132,0.259791667,0.014822694,0.42433181
"74","Eutromacul",152.1359504,120.025,42.19041061,46.8736875,17.68207385,0.324545455,0.023860556,0.302781265
"75","Festusubve",319.1928058,47.41666667,44.67935689,14.40741901,14.36086431,0.151242424,0.031111886,0.296617932
"76","Fragavirgi",332.820663,19.25,45.89712016,77.47320799,22.19907277,0.236433333,0.020675242,0.26862734
"77","Galeotetra",1140.836973,21.95833333,43.1072464,11.90673611,11.52957259,0.206666667,0.037388417,0.131051766
"78","Galiuapari",554.2634707,50.75,41.22202047,2.01606665,14.30332865,0.1504,0.028819879,0.147409922
"79","Galiuconci",480.7072368,21.9375,40.36253675,0.488637125,15.70832164,0.12459375,0.025695003,0.246794715
"80","Galiutrifl",723.8554563,15.58333333,43.1624349,3.163436347,15.80656957,0.141875,0.027306643,0.114663865
"81","Geranmacul",368.6383866,46.04444444,45.2289238,155.8014989,17.67134095,0.240697917,0.025594506,0.194618615
"82","Geumcanad",395.6213441,49.91666667,43.54355367,141.9652734,16.93331162,0.208125,0.02571473,0.209631709
"83","Glechheder",538.8166976,9.583333333,43.30708694,10.87901364,12.04362577,0.250566667,0.035958513,0.163972276
"84","Glycestria",358.9392702,64.16666667,44.51927312,10.63918932,15.48324957,0.14056,0.028753184,0.308080584
"85","Gymnodryop",451.7055878,16.33333333,47.42045085,46.45238542,18.2441927,0.149708333,0.02599208,0.275505388
"86","Hackevirgi",423.1613071,88.75,41.867313,21.14629436,13.60640247,0.17568,0.030770303,0.206966617
"87","Heliastrum",203.5136107,100.5125,41.03356552,34.18886857,14.66512794,0.461418605,0.027980367,0.303189443
"88","Hespematro",423.6859628,78.51111111,41.46062152,24.05817494,10.29084187,0.264857143,0.040288853,0.144349281
"89","Heuchricha",121.096849,23.98,46.47801081,53.31795,35.91948743,0.318,0.012939497,0.374586691
"90","Hieraauran",362.0975863,11.66666667,44.19646878,19.52338952,20.73750679,0.221166667,0.021312335,0.155972269
"91","Hydrovirgi",397.2591408,38.91666667,44.47806549,108.2118391,17.6738781,0.295407407,0.025165991,0.189798126
"92","Hyperperfo",273.6137091,60.99166667,47.59266663,0.947430621,25.11281888,0.154230769,0.018951543,0.371856678
"93","Impatcapen",621.0941747,84.41666667,48.24340725,19.06029563,10.81228363,0.16875,0.044619073,0.18057372
"94","Impatpalli",1006.732686,87.16666667,48.02964783,70.15059955,11.2673873,0.117291667,0.042627138,0.154746004
"95","Lactubienn",252.0871888,181.4,44.36896578,134.2951073,13.41435997,0.20324,0.033075723,0.186175863
