Binomial_correct,WD,lnSM,LMA,Hmax,DS
Cordia membranacea,0.526586424,5.541795484,63.76425775,14.89548611,EndoZoo
Cordia scabrifolia,0.474,5.541795484,104.3,40,EndoZoo
Cordia sellowiana,0.637232459,5.734538798,91.00846817,10,EndoZoo
Cordia taguahyensis,0.688402162,4.912654886,55.45570683,22.5,EndoZoo
Cordia tetrandra,0.345,5.541795484,63.76425775,14.89548611,EndoZoo
Cordia toqueve,0.526586424,2.592265168,63.76425775,18.5,EndoZoo
Cordiera myrciifolia,0.728336728,3.784168927,112.4288693,19,EndoZoo
Corythophora alta,0.713764729,5.953493303,118.0562975,25,NonZoo
Couepia belemii,0.823145902,8.444720236,89.78458362,32,SynZoo
Couepia bracteosa,0.77,8.444720236,172.2249989,28,SynZoo
Couepia guianensis,0.755188294,8.517193191,88.06732158,30,SynZoo
Couepia impressa,0.823145902,8.444720236,89.78458362,21,SynZoo
Couepia monteclarensis,0.823145902,8.444720236,89.78458362,10,SynZoo
Couepia robusta,0.83,8.444720236,89.78458362,22.50320513,SynZoo
Couepia rufa,0.982,8.444720236,89.78458362,30,SynZoo
Couma guianensis,0.46670873,3.912023005,82.00081998,25,EndoZoo
Couratari guianensis,0.500758333,5.463831805,59.66825435,50,NonZoo
Couratari oblongifolia,0.505,4.663439094,80.96027838,40,NonZoo
Couratari stellata,0.633159286,4.672828834,100.2172232,45,NonZoo
Couratari tauari,0.554966813,5.757596357,90.11660997,40.17857143,NonZoo
Coussapoa pachyphylla,0.480711685,1.070110789,106.622645,35,EndoZoo
Coussapoa villosa,0.39,1.486139696,94.11946296,35,EndoZoo
Coussarea,0.559991329,5.680534873,48.93717174,7.325,EndoZoo
Coussarea albescens,0.65,5.680534873,58.7984694,10,EndoZoo
Coussarea contracta,0.545833333,6.396929655,63.62942223,21,EndoZoo
Coussarea paniculata,0.65,5.17598955,48.93717174,12,EndoZoo
Croton floribundus,0.56,3.632286232,74.67512365,30,NonZoo
Croton glandulosus,0.487772166,1.994700313,62.79999997,11.80072673,EndoZoo
Croton macrobothrys,0.363686931,4.728888636,53.69411698,35,NonZoo
Croton matourensis,0.465500555,2.667228207,111.1,26.5,EndoZoo
Crudia aequalis,0.837552467,8.937875265,51.77734068,35,NonZoo
Crudia oblonga,0.837552467,8.937875265,62.25631755,10,NonZoo
Cryptocarya mandioccana,0.62,7.304784908,104.0474456,24,EndoZoo
Cupania,0.643111259,5.66875453,77.84802137,16.48047544,EndoZoo
Cupania diphylla,0.643111259,5.66875453,77.84802137,14,EndoZoo
Cupania hirsuta,0.643111259,5.501258211,77.84802137,15,EndoZoo
Cupania impressinervia,0.58,5.66875453,88.36537576,12,EndoZoo
Cupania oblongifolia,0.637916667,7.003065459,59.20000001,30,EndoZoo
Cupania racemosa,0.610125,6.645391014,93.30000001,24.5,EndoZoo
Cupania scrobiculata,0.6595,5.010635294,80.63799666,26,EndoZoo
Cupania tenuivalvis,0.74,5.66875453,94.82265647,12,EndoZoo
Cupania vernalis,0.642392593,5.45746696,93.16214522,24,EndoZoo
Cynometra bauhiniaefolia,0.6801818,8.537975731,75.28306431,28.75,SynZoo
Cynometra marginata,0.808908829,8.537975731,81.64427274,28.75,SynZoo
Cynophalla flexuosa,0.67,4.204776198,215.1922333,12,EndoZoo
Deguelia spruceana,0.67,5.203007187,67.99999999,10,NonZoo
Dendrobangia boliviana,0.635270834,5.565372917,56.67970301,40,EndoZoo
Dialium guianense,0.852447742,5.582399216,58.69825312,40,EndoZoo
Dilodendron bipinnatum,0.617251119,6.101280373,66.01566214,20,EndoZoo
Dimorphandra multiflora,0.770207988,5.66930662,92.46598554,21,EndoZoo
Dimorphandra parviflora,1,5.66930662,96.60000007,21,EndoZoo
Dinizia excelsa,0.92237875,5.298317367,86.28127699,60,NonZoo
Diospyros capreifolia,0.73,6.085637717,84.91133759,15,EndoZoo
Diospyros carbonaria,0.7,6.403802885,120.0048002,17,EndoZoo
Diospyros guianensis,0.73,6.403802885,93.45690005,25,EndoZoo
Diospyros sericea,0.657977613,6.403802885,93.45690005,25,EndoZoo
Diospyros vestita,0.657977613,6.403802885,127.9724283,10.74179277,EndoZoo
Diploon cuspidatum,0.85,7.60090246,65.32105296,32,EndoZoo
